SObject: SObject Name,SObjectField: SObjectField Name,type,isCustom
Lead,IsConverted,BOOLEAN,0
Lead,ConvertedDate,DATE,0
Lead,ConvertedAccountId,REFERENCE,0
Lead,ConvertedContactId,REFERENCE,0
Lead,ConvertedOpportunityId,REFERENCE,0
Lead,IsUnreadByOwner,BOOLEAN,0
z_FieldDescription__c,isCaseSensitive__c,BOOLEAN,1
z_FieldDescription__c,isCreateable__c,BOOLEAN,1
z_FieldDescription__c,isCustom__c,BOOLEAN,1
z_FieldDescription__c,isDefaultedOnCreate__c,BOOLEAN,1
z_FieldDescription__c,isDependentPicklist__c,BOOLEAN,1
z_FieldDescription__c,isDeprecatedAndHidden__c,BOOLEAN,1
z_FieldDescription__c,isExternalID__c,BOOLEAN,1
z_FieldDescription__c,isFilterable__c,BOOLEAN,1
z_FieldDescription__c,isGroupable__c,BOOLEAN,1
z_FieldDescription__c,isHtmlFormatted__c,BOOLEAN,1
z_FieldDescription__c,isIdLookup__c,BOOLEAN,1
z_FieldDescription__c,isNameField__c,BOOLEAN,1
z_FieldDescription__c,isNamePointing__c,BOOLEAN,1
z_FieldDescription__c,isNillable__c,BOOLEAN,1
z_FieldDescription__c,isRestrictedPicklist__c,BOOLEAN,1
z_FieldDescription__c,isSortable__c,BOOLEAN,1
z_FieldDescription__c,isUnique__c,BOOLEAN,1
z_FieldDescription__c,isUpdateable__c,BOOLEAN,1
z_FieldDescription__c,isWriteRequiredMasterRead__c,BOOLEAN,1
z_FieldDescription__c,label__c,STRING,1
z_FieldDescription__c,length__c,DOUBLE,1
z_FieldDescription__c,localName__c,STRING,1
z_FieldDescription__c,name__c,STRING,1
z_FieldDescription__c,picklistentries__c,TEXTAREA,1
z_FieldDescription__c,precision__c,DOUBLE,1
z_FieldDescription__c,relationshipName__c,STRING,1
z_FieldDescription__c,relationshipOrder__c,DOUBLE,1
Lead,CreatedById,REFERENCE,0
Lead,LastModifiedDate,DATETIME,0
Lead,LastModifiedById,REFERENCE,0
Lead,SystemModstamp,DATETIME,0
User,UserPreferencesDisableChangeCommentEmail,BOOLEAN,0
User,UserPreferencesDisableLaterCommentEmail,BOOLEAN,0
User,UserPreferencesDisProfPostCommentEmail,BOOLEAN,0
User,UserPreferencesContentNoEmail,BOOLEAN,0
User,UserPreferencesContentEmailAsAndWhen,BOOLEAN,0
User,UserPreferencesApexPagesDeveloperMode,BOOLEAN,0
User,UserPreferencesHideCSNGetChatterMobileTask,BOOLEAN,0
User,UserPreferencesDisableMentionsPostEmail,BOOLEAN,0
User,UserPreferencesDisMentionsCommentEmail,BOOLEAN,0
User,UserPreferencesHideCSNDesktopTask,BOOLEAN,0
User,UserPreferencesHideChatterOnboardingSplash,BOOLEAN,0
User,UserPreferencesHideSecondChatterOnboardingSplash,BOOLEAN,0
User,UserPreferencesDisCommentAfterLikeEmail,BOOLEAN,0
User,UserPreferencesDisableLikeEmail,BOOLEAN,0
User,UserPreferencesSortFeedByComment,BOOLEAN,0
User,UserPreferencesDisableMessageEmail,BOOLEAN,0
User,UserPreferencesJigsawListUser,BOOLEAN,0
User,UserPreferencesDisableBookmarkEmail,BOOLEAN,0
Lead,CreatedDate,DATETIME,0
z_FieldDescription__c,scale__c,DOUBLE,1
z_FieldDescription__c,soaptype__c,STRING,1
z_FieldDescription__c,type__c,STRING,1
z_MetaDumpSetting__c,Id,ID,1
z_MetaDumpSetting__c,OwnerId,REFERENCE,1
z_MetaDumpSetting__c,IsDeleted,BOOLEAN,1
z_MetaDumpSetting__c,Name,STRING,1
z_MetaDumpSetting__c,CreatedDate,DATETIME,1
z_MetaDumpSetting__c,CreatedById,REFERENCE,1
z_MetaDumpSetting__c,LastModifiedDate,DATETIME,1
z_MetaDumpSetting__c,LastModifiedById,REFERENCE,1
z_MetaDumpSetting__c,SystemModstamp,DATETIME,1
z_MetaDumpSetting__c,LastViewedDate,DATETIME,1
z_MetaDumpSetting__c,LastReferencedDate,DATETIME,1
z_MetaDumpSetting__c,name__c,STRING,1
z_SObjectDescription__c,Id,ID,1
z_SObjectDescription__c,OwnerId,REFERENCE,1
z_SObjectDescription__c,IsDeleted,BOOLEAN,1
z_SObjectDescription__c,Name,STRING,1
z_SObjectDescription__c,CreatedDate,DATETIME,1
z_SObjectDescription__c,CreatedById,REFERENCE,1
z_SObjectDescription__c,LastModifiedDate,DATETIME,1
z_SObjectDescription__c,LastModifiedById,REFERENCE,1
z_SObjectDescription__c,SystemModstamp,DATETIME,1
z_SObjectDescription__c,LastViewedDate,DATETIME,1
z_SObjectDescription__c,LastReferencedDate,DATETIME,1
z_SObjectDescription__c,isAccessible__c,BOOLEAN,1
z_SObjectDescription__c,isCreateable__c,BOOLEAN,1
ObiWan__c,Id,ID,1
ObiWan__c,OwnerId,REFERENCE,1
ObiWan__c,IsDeleted,BOOLEAN,1
ObiWan__c,Name,STRING,1
ObiWan__c,CreatedDate,DATETIME,1
ObiWan__c,CreatedById,REFERENCE,1
ObiWan__c,LastModifiedDate,DATETIME,1
ObiWan__c,LastModifiedById,REFERENCE,1
ObiWan__c,SystemModstamp,DATETIME,1
ObiWan__c,LastActivityDate,DATE,1
User,UserPreferencesDisableSharePostEmail,BOOLEAN,0
User,UserPreferencesEnableAutoSubForFeeds,BOOLEAN,0
User,UserPreferencesDisableFileShareNotificationsForApi,BOOLEAN,0
User,UserPreferencesShowTitleToExternalUsers,BOOLEAN,0
User,UserPreferencesShowManagerToExternalUsers,BOOLEAN,0
User,UserPreferencesShowEmailToExternalUsers,BOOLEAN,0
User,UserPreferencesShowWorkPhoneToExternalUsers,BOOLEAN,0
User,UserPreferencesShowMobilePhoneToExternalUsers,BOOLEAN,0
User,UserPreferencesShowFaxToExternalUsers,BOOLEAN,0
User,UserPreferencesShowStreetAddressToExternalUsers,BOOLEAN,0
User,UserPreferencesShowCityToExternalUsers,BOOLEAN,0
User,UserPreferencesShowStateToExternalUsers,BOOLEAN,0
User,UserPreferencesShowPostalCodeToExternalUsers,BOOLEAN,0
User,UserPreferencesShowCountryToExternalUsers,BOOLEAN,0
User,UserPreferencesShowProfilePicToGuestUsers,BOOLEAN,0
User,UserPreferencesShowTitleToGuestUsers,BOOLEAN,0
User,UserPreferencesShowCityToGuestUsers,BOOLEAN,0
Campaign,Id,ID,0
Campaign,IsDeleted,BOOLEAN,0
Campaign,Name,STRING,0
Campaign,ParentId,REFERENCE,0
Campaign,Type,PICKLIST,0
z_SObjectDescription__c,isCustomSetting__c,BOOLEAN,1
z_SObjectDescription__c,isCustom__c,BOOLEAN,1
z_SObjectDescription__c,isDeltable__c,BOOLEAN,1
z_SObjectDescription__c,isDeprecatedAndHidden__c,BOOLEAN,1
z_SObjectDescription__c,isFeedEnabled__c,BOOLEAN,1
z_SObjectDescription__c,isMergeable__c,BOOLEAN,1
z_SObjectDescription__c,isQueryable__c,BOOLEAN,1
z_SObjectDescription__c,isSearchable__c,BOOLEAN,1
z_SObjectDescription__c,isUndeletable__c,BOOLEAN,1
z_SObjectDescription__c,isUpdateable__c,BOOLEAN,1
z_SObjectDescription__c,keyPrefix__c,STRING,1
z_SObjectDescription__c,labelPlural__c,STRING,1
z_SObjectDescription__c,label__c,STRING,1
z_SObjectDescription__c,localName__c,STRING,1
z_SchemaTemp__c,Id,ID,1
z_SchemaTemp__c,OwnerId,REFERENCE,1
z_SchemaTemp__c,IsDeleted,BOOLEAN,1
z_SchemaTemp__c,Name,STRING,1
z_SchemaTemp__c,CreatedDate,DATETIME,1
z_SchemaTemp__c,CreatedById,REFERENCE,1
z_SchemaTemp__c,LastModifiedDate,DATETIME,1
z_SchemaTemp__c,LastModifiedById,REFERENCE,1
ObiWan__c,LastViewedDate,DATETIME,1
ObiWan__c,LastReferencedDate,DATETIME,1
z_SchemaTemp__c,SystemModstamp,DATETIME,1
z_SchemaTemp__c,fieldname__c,STRING,1
z_SchemaTemp__c,objid__c,STRING,1
z_SchemaTemp__c,objname__c,STRING,1
z_ChildRelationship__c,Id,ID,1
z_ChildRelationship__c,IsDeleted,BOOLEAN,1
z_ChildRelationship__c,Name,STRING,1
z_ChildRelationship__c,CreatedDate,DATETIME,1
z_ChildRelationship__c,CreatedById,REFERENCE,1
z_ChildRelationship__c,LastModifiedDate,DATETIME,1
z_ChildRelationship__c,LastModifiedById,REFERENCE,1
z_ChildRelationship__c,SystemModstamp,DATETIME,1
z_ChildRelationship__c,z_ParentSObjectDescription__c,REFERENCE,1
z_ChildRelationship__c,childobjectname__c,STRING,1
z_ChildRelationship__c,fieldname__c,STRING,1
z_ChildRelationship__c,isCascadeDelete__c,BOOLEAN,1
z_ChildRelationship__c,z_ChildSObjectDescription__c,REFERENCE,1
Contract,Id,ID,0
Contract,AccountId,REFERENCE,0
Contract,Pricebook2Id,REFERENCE,0
Contract,OwnerExpirationNotice,PICKLIST,0
Contract,StartDate,DATE,0
Contract,EndDate,DATE,0
Contract,BillingStreet,TEXTAREA,0
Contract,BillingCity,STRING,0
Campaign,Status,PICKLIST,0
Campaign,StartDate,DATE,0
Campaign,EndDate,DATE,0
Campaign,ExpectedRevenue,CURRENCY,0
Campaign,BudgetedCost,CURRENCY,0
Campaign,ActualCost,CURRENCY,0
Campaign,ExpectedResponse,PERCENT,0
Campaign,NumberSent,DOUBLE,0
Campaign,IsActive,BOOLEAN,0
Campaign,Description,TEXTAREA,0
Campaign,NumberOfLeads,INTEGER,0
Campaign,NumberOfConvertedLeads,INTEGER,0
Lead,LastActivityDate,DATE,0
Lead,DoNotCall,BOOLEAN,0
Lead,HasOptedOutOfFax,BOOLEAN,0
Lead,LastViewedDate,DATETIME,0
Lead,LastReferencedDate,DATETIME,0
Lead,LastTransferDate,DATE,0
Lead,Jigsaw,STRING,0
Lead,JigsawContactId,STRING,0
Lead,CleanStatus,PICKLIST,0
Lead,CompanyDunsNumber,STRING,0
Lead,DandbCompanyId,REFERENCE,0
Lead,EmailBouncedReason,STRING,0
Lead,EmailBouncedDate,DATETIME,0
Lead,SICCode__c,STRING,0
Contract,BillingState,STRING,0
Contract,BillingPostalCode,STRING,0
Contact,Id,ID,0
Contact,IsDeleted,BOOLEAN,0
Contact,MasterRecordId,REFERENCE,0
Contact,AccountId,REFERENCE,0
Contact,LastName,STRING,0
Contact,FirstName,STRING,0
Contact,Salutation,PICKLIST,0
Contact,Name,STRING,0
Contact,OtherStreet,TEXTAREA,0
Contact,OtherCity,STRING,0
Contact,OtherState,STRING,0
Contact,OtherPostalCode,STRING,0
Contact,OtherCountry,STRING,0
Contact,OtherLatitude,DOUBLE,0
Contact,OtherLongitude,DOUBLE,0
Contact,OtherGeocodeAccuracy,PICKLIST,0
Contact,OtherAddress,ADDRESS,0
Contact,MailingStreet,TEXTAREA,0
Contact,MailingCity,STRING,0
Contact,MailingState,STRING,0
